"id_libro","Sesso","Eta_Autore","fascia_eta","nome_editore","Anno","Titolo","genere","Provincia_Editore","Regione_Editore","Stato_Editore"
"1","Maschio","25","Giovane","Italiano Editore","2020","Il Segreto del Vento","Romanzo","Teramo","Abruzzo","Italia"
"2","Maschio","26","Giovane","Francese Editions","2019","La Magia Oscura","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"3","Maschio","27","Giovane","Ediciones Espanolas","2021","L'Ultimo Inverno","Thriller","Barcelona","Catalonia","Spagna"
"4","Maschio","48","Adulto","Italiano Editore","2018","Ombre nella Notte","Romanzo","Teramo","Abruzzo","Italia"
"5","Maschio","46","Adulto","Francese Editions","2022","Risveglio","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"6","Femmina","47","Adulto","Deutsche Verlag","2017","Il Codice Perduto","Mistero","Munich","Bavaria","Germania"
"7","Femmina","68","Anziano","United Kingdom Press","2023","L'Incanto del Mare","Avventura","London","England","Regno Unito"
"8","Femmina","70","Anziano","American Publishers","2015","Oltre il Confine","Sci-Fi","Los Angeles","California","Stati Uniti"
"9","Femmina","69","Anziano","Deutsche Verlag","2016","L'Ultima Frontiera","Mistero","Munich","Bavaria","Germania"
"10","Femmina","71","Anziano","United Kingdom Press","2022","Segreti del Passato","Avventura","London","England","Regno Unito"
"11","Femmina","47","Adulto","American Publishers","2019","Notte Infinita","Sci-Fi","Los Angeles","California","Stati Uniti"
"12","Femmina","68","Anziano","Deutsche Verlag","2020","Cronache del Futuro","Mistero","Munich","Bavaria","Germania"
"13","Femmina","70","Anziano","United Kingdom Press","2018","Sotto le Stelle","Avventura","London","England","Regno Unito"
"14","Femmina","69","Anziano","American Publishers","2021","Invisibile","Thriller","Los Angeles","California","Stati Uniti"
"15","Femmina","71","Anziano","Deutsche Verlag","2014","Risveglio dei Titani","Fantasy","Munich","Bavaria","Germania"
"16","Femmina","47","Adulto","United Kingdom Press","2013","Ombre del Passato","Romanzo","London","England","Regno Unito"
"17","Femmina","68","Anziano","American Publishers","2011","Viaggio nel Tempo","Romanzo","Los Angeles","California","Stati Uniti"
"18","Femmina","70","Anziano","Deutsche Verlag","2012","Nebbia del Mattino","Mistero","Munich","Bavaria","Germania"
"19","Femmina","69","Anziano","United Kingdom Press","2010","L'Alba del Destino","Fantasy","London","England","Regno Unito"
"20","Femmina","71","Anziano","American Publishers","2014","L'Ultimo Viaggio","Sci-Fi","Los Angeles","California","Stati Uniti"
"21","Maschio","25","Giovane","Mondadorium","2014","asperiores sed corporis","Romanzo","Biella","Piemonte","Italia"
"22","Maschio","27","Giovane","United Kingdom Press","2002","accusantium adipisci minus","Romanzo","London","England","Regno Unito"
"23","Maschio","25","Giovane","Ediciones Espanolas","1989","consequatur voluptates maiores","Romanzo","Barcelona","Catalonia","Spagna"
"24","Maschio","26","Giovane","Mondadorium","2009","perspiciatis distinctio magni","Romanzo","Biella","Piemonte","Italia"
"25","Maschio","25","Giovane","United Kingdom Press","1981","quos necessitatibus ratione","Romanzo","London","England","Regno Unito"
"26","Maschio","27","Giovane","Italiano Editore","2019","optio placeat eaque","Romanzo","Teramo","Abruzzo","Italia"
"27","Maschio","25","Giovane","Ediciones Espanolas","2006","ex veniam reprehenderit","Romanzo","Barcelona","Catalonia","Spagna"
"28","Maschio","26","Giovane","Francese Editions","1975","odit adipisci doloribus","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"29","Maschio","27","Giovane","Mondadorium","2023","nemo delectus voluptatum","Romanzo","Biella","Piemonte","Italia"
"30","Maschio","26","Giovane","Francese Editions","2006","eligendi unde amet","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"31","Maschio","27","Giovane","Ediciones Espanolas","2023","alias amet ut","Romanzo","Barcelona","Catalonia","Spagna"
"32","Maschio","26","Giovane","Ediciones Espanolas","1979","magni soluta accusantium","Romanzo","Barcelona","Catalonia","Spagna"
"33","Maschio","25","Giovane","Mondadorium","1997","quis ut nostrum","Romanzo","Biella","Piemonte","Italia"
"34","Maschio","25","Giovane","Francese Editions","2001","eaque dignissimos incidunt","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"35","Maschio","27","Giovane","American Publishers","2000","aliquam voluptatibus tempora","Romanzo","Los Angeles","California","Stati Uniti"
"36","Maschio","25","Giovane","Francese Editions","1988","quis doloribus magnam","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"37","Maschio","26","Giovane","American Publishers","1978","porro quis hic","Romanzo","Los Angeles","California","Stati Uniti"
"38","Maschio","26","Giovane","Deutsche Verlag","1982","sint debitis voluptatibus","Romanzo","Munich","Bavaria","Germania"
"39","Maschio","26","Giovane","Italiano Editore","2012","incidunt saepe architecto","Romanzo","Teramo","Abruzzo","Italia"
"40","Maschio","26","Giovane","Mondadorium","1977","quibusdam quas architecto","Romanzo","Biella","Piemonte","Italia"
"41","Maschio","26","Giovane","Mondadorium","2010","molestias quidem iste","Romanzo","Biella","Piemonte","Italia"
"42","Maschio","26","Giovane","Francese Editions","2021","in iusto repellendus","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"43","Maschio","26","Giovane","Francese Editions","2012","quaerat unde nostrum","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
